lambda,C-index Train,Mean C-index Test,C-index Test sd,IBS@3y,IBS_3y_std,IBS@3y CI95%,Non-zero coefs,Execution Time (min)
6.2,0.754,0.737,0.027,0.129,0.0056725295447079,"[0.1254, 0.1325]",13,0.15
6.3,0.754,0.737,0.027,0.1291,0.0056108025103416,"[0.1256, 0.1325]",13,0.16
6.4,0.753,0.737,0.027,0.1292,0.0055493868719146,"[0.1257, 0.1326]",12,0.15
6.5,0.753,0.736,0.027,0.1293,0.0054858532131017,"[0.1259, 0.1327]",12,0.16
6.6,0.752,0.736,0.027,0.1295,0.0054227849307294,"[0.1262, 0.1329]",12,0.15
6.7,0.751,0.735,0.027,0.1297,0.0053601035734292,"[0.1264, 0.1330]",12,0.16
6.8,0.751,0.735,0.027,0.1299,0.0053063977762027,"[0.1266, 0.1332]",11,0.17
6.9,0.75,0.734,0.027,0.1302,0.0052538901115911,"[0.1269, 0.1334]",11,0.16
7.0,0.75,0.734,0.027,0.1304,0.0052017833546252,"[0.1272, 0.1337]",11,0.16
7.1,0.749,0.733,0.027,0.1307,0.0051501035959383,"[0.1275, 0.1339]",11,0.15
7.2,0.748,0.733,0.027,0.131,0.0051018071117848,"[0.1278, 0.1342]",10,0.16
7.3,0.747,0.732,0.026,0.1313,0.0050597744530921,"[0.1282, 0.1345]",10,0.15
7.4,0.747,0.732,0.026,0.1317,0.0050185688661773,"[0.1286, 0.1348]",9,0.15
7.5,0.746,0.732,0.026,0.132,0.00497785292461,"[0.1289, 0.1351]",9,0.16
7.6,0.745,0.731,0.026,0.1324,0.0049375997586959,"[0.1294, 0.1355]",9,0.15
7.7,0.745,0.73,0.026,0.1328,0.0048978363408466,"[0.1298, 0.1358]",9,0.16
7.8,0.744,0.73,0.026,0.1332,0.0048585913855925,"[0.1302, 0.1362]",9,0.15
7.9,0.743,0.729,0.026,0.1337,0.0048198932107051,"[0.1307, 0.1366]",9,0.15
8.0,0.742,0.728,0.026,0.1341,0.0047817712330605,"[0.1311, 0.1371]",9,0.15
8.1,0.741,0.728,0.026,0.1346,0.0047442551488713,"[0.1316, 0.1375]",9,0.15
8.2,0.74,0.727,0.026,0.1351,0.0047073778308323,"[0.1322, 0.1380]",9,0.16
8.3,0.739,0.726,0.026,0.1356,0.0046691265618485,"[0.1327, 0.1385]",8,0.15
8.4,0.738,0.726,0.026,0.1361,0.0046266332353015,"[0.1332, 0.1389]",8,0.15
8.5,0.737,0.726,0.026,0.1365,0.0045848367370304,"[0.1336, 0.1393]",6,0.16
8.6,0.737,0.725,0.026,0.1369,0.0045436962937738,"[0.1341, 0.1397]",6,0.16
