lambda,C-index Train,Mean C-index Test,C-index Test sd,IBS@3y,Non-zero coefs,Execution Time (min)
7.6,0.745,0.731,0.026,0.1324,9,0.35
7.7,0.745,0.73,0.026,0.1328,9,0.35
7.8,0.744,0.73,0.026,0.1332,9,0.35
7.9,0.743,0.729,0.026,0.1337,9,0.33
8.0,0.742,0.728,0.026,0.1341,9,0.32
8.1,0.741,0.728,0.026,0.1346,9,0.3
8.2,0.74,0.727,0.026,0.1351,9,0.29
8.3,0.739,0.726,0.026,0.1356,8,0.29
8.4,0.738,0.726,0.026,0.1361,8,0.28
8.5,0.737,0.726,0.026,0.1365,6,0.28
8.6,0.737,0.725,0.026,0.1369,6,0.28
8.7,0.736,0.725,0.026,0.1374,5,0.29
8.8,0.736,0.725,0.026,0.1379,5,0.32
8.9,0.736,0.724,0.026,0.1384,5,0.29
9.0,0.735,0.724,0.026,0.1389,5,0.29
9.1,0.735,0.724,0.026,0.1394,5,0.28
9.2,0.734,0.724,0.025,0.14,5,0.28
9.3,0.734,0.723,0.025,0.1406,5,0.28
9.4,0.733,0.723,0.025,0.1412,5,0.28
9.5,0.733,0.722,0.025,0.1418,5,0.28
9.6,0.732,0.722,0.025,0.1424,5,0.28
9.7,0.731,0.721,0.025,0.143,5,0.28
9.8,0.73,0.72,0.025,0.1437,5,0.28
9.9,0.73,0.719,0.025,0.1444,5,0.28
10.0,0.729,0.719,0.025,0.1451,5,0.28
10.1,0.728,0.718,0.025,0.1457,4,0.28
10.2,0.727,0.718,0.025,0.1463,4,0.28
10.3,0.725,0.717,0.025,0.1469,4,0.28
10.4,0.724,0.716,0.024,0.1475,4,0.28
10.5,0.723,0.715,0.024,0.1482,4,0.28
10.6,0.722,0.714,0.024,0.1489,4,0.28
10.7,0.72,0.713,0.024,0.1496,4,0.28
10.8,0.719,0.713,0.024,0.1503,4,0.28
10.9,0.717,0.711,0.024,0.1511,4,0.28
11.0,0.716,0.711,0.023,0.1519,4,0.28
11.1,0.714,0.71,0.024,0.1527,4,0.28
11.2,0.712,0.709,0.024,0.1535,3,0.28
11.3,0.711,0.707,0.024,0.154,3,0.28
11.4,0.709,0.707,0.024,0.1545,3,0.28
11.5,0.708,0.705,0.023,0.155,3,0.28
11.6,0.707,0.704,0.023,0.1556,3,0.28
11.7,0.706,0.703,0.023,0.1561,2,0.28
11.8,0.705,0.702,0.023,0.1567,2,0.28
11.9,0.704,0.701,0.023,0.1572,2,0.28
