lambda,C-index Train,Mean C-index Test,C-index Test sd,IBS@3y,Non-zero coefs,Execution Time (min)
8.799999999999999,0.736,0.725,0.026,0.1379,5,0.15
8.899999999999999,0.736,0.724,0.026,0.1384,5,0.15
8.999999999999998,0.735,0.724,0.026,0.1389,5,0.15
9.099999999999998,0.735,0.724,0.026,0.1394,5,0.15
9.199999999999998,0.734,0.724,0.025,0.14,5,0.16
9.299999999999995,0.734,0.723,0.025,0.1406,5,0.15
9.4,0.733,0.723,0.025,0.1412,5,0.15
9.499999999999998,0.733,0.722,0.025,0.1418,5,0.15
9.599999999999998,0.732,0.722,0.025,0.1424,5,0.15
9.699999999999998,0.731,0.721,0.025,0.143,5,0.15
9.799999999999995,0.73,0.72,0.025,0.1437,5,0.15
9.9,0.73,0.719,0.025,0.1444,5,0.16
10.0,0.729,0.719,0.025,0.1451,5,0.17
10.1,0.728,0.718,0.025,0.1457,4,0.16
10.2,0.727,0.718,0.025,0.1463,4,0.16
10.3,0.725,0.717,0.025,0.1469,4,0.17
10.4,0.724,0.716,0.024,0.1475,4,0.16
10.499999999999998,0.723,0.715,0.024,0.1482,4,0.16
10.599999999999998,0.722,0.714,0.024,0.1489,4,0.17
10.699999999999998,0.72,0.713,0.024,0.1496,4,0.17
10.799999999999995,0.719,0.713,0.024,0.1503,4,0.16
10.899999999999997,0.717,0.711,0.024,0.1511,4,0.17
10.999999999999996,0.716,0.711,0.023,0.1519,4,0.17
11.099999999999996,0.714,0.71,0.024,0.1527,4,0.16
11.199999999999996,0.712,0.709,0.024,0.1535,3,0.16
11.299999999999995,0.711,0.707,0.024,0.154,3,0.16
11.399999999999997,0.709,0.707,0.024,0.1545,3,0.15
11.499999999999996,0.708,0.705,0.023,0.155,3,0.16
11.599999999999994,0.707,0.704,0.023,0.1556,3,0.16
11.699999999999994,0.706,0.703,0.023,0.1561,2,0.15
11.799999999999994,0.705,0.702,0.023,0.1567,2,0.16
11.899999999999991,0.704,0.701,0.023,0.1572,2,0.16
11.999999999999991,0.703,0.7,0.023,0.1578,2,0.16
12.099999999999993,0.702,0.699,0.023,0.1583,2,0.16
12.199999999999992,0.701,0.698,0.023,0.1589,2,0.15
12.299999999999992,0.699,0.696,0.023,0.1596,2,0.15
12.399999999999991,0.698,0.694,0.023,0.1602,2,0.16
12.499999999999991,0.696,0.693,0.022,0.1608,2,0.16
12.59999999999999,0.694,0.69,0.022,0.1615,2,0.15
12.69999999999999,0.692,0.688,0.022,0.1622,2,0.16
12.79999999999999,0.689,0.684,0.021,0.1626,1,0.16
12.89999999999999,0.689,0.684,0.021,0.1625,1,0.16
12.99999999999999,0.689,0.684,0.021,0.1625,1,0.15
13.099999999999987,0.689,0.684,0.021,0.1624,1,0.16
13.199999999999989,0.689,0.684,0.021,0.1623,1,0.16
13.299999999999988,0.689,0.684,0.021,0.1622,1,0.16
13.399999999999988,0.689,0.684,0.021,0.1622,1,0.15
13.499999999999988,0.689,0.684,0.021,0.1621,1,0.16
13.599999999999987,0.689,0.684,0.021,0.162,1,0.16
13.699999999999989,0.689,0.684,0.021,0.162,1,0.16
13.799999999999986,0.689,0.684,0.021,0.1619,1,0.16
13.899999999999986,0.689,0.684,0.021,0.1618,1,0.16
13.999999999999986,0.689,0.684,0.021,0.1617,1,0.16
14.099999999999984,0.689,0.684,0.021,0.1617,1,0.15
14.199999999999983,0.689,0.684,0.021,0.1616,1,0.15
14.299999999999985,0.689,0.684,0.021,0.1615,1,0.15
14.399999999999984,0.689,0.684,0.021,0.1615,1,0.16
14.499999999999984,0.689,0.684,0.021,0.1614,1,0.15
14.599999999999984,0.689,0.684,0.021,0.1614,1,0.15
14.699999999999983,0.689,0.684,0.021,0.1613,1,0.15
14.799999999999985,0.689,0.684,0.021,0.1612,1,0.15
