lambda,C-index Train,Mean C-index Test,C-index Test sd,IBS@3y,IBS_3y_std,IBS@3y CI95%,Non-zero coefs,Execution Time (min)
8.499999999999988,0.737,0.726,0.026,0.1365,0.0045848368649341,"[0.1336, 0.1393]",6,0.17
8.599999999999987,0.737,0.725,0.026,0.1369,0.0045436963903674,"[0.1341, 0.1397]",6,0.18
8.699999999999987,0.736,0.725,0.026,0.1374,0.0045060018951,"[0.1346, 0.1402]",5,0.17
8.799999999999986,0.736,0.725,0.026,0.1379,0.00446944721787,"[0.1351, 0.1406]",5,0.16
8.899999999999986,0.736,0.724,0.026,0.1384,0.004432973558389,"[0.1356, 0.1411]",5,0.16
8.999999999999986,0.735,0.724,0.026,0.1389,0.0043966031076915,"[0.1362, 0.1416]",5,0.15
9.099999999999984,0.735,0.724,0.026,0.1394,0.0043603595973377,"[0.1367, 0.1421]",5,0.15
9.199999999999983,0.734,0.724,0.025,0.14,0.004324268546118,"[0.1373, 0.1427]",5,0.15
9.299999999999985,0.734,0.723,0.025,0.1406,0.0042883571019858,"[0.1379, 0.1432]",5,0.16
9.399999999999984,0.733,0.723,0.025,0.1412,0.0042526542640242,"[0.1385, 0.1438]",5,0.15
9.499999999999984,0.733,0.722,0.025,0.1418,0.0042171908877016,"[0.1391, 0.1444]",5,0.16
9.599999999999984,0.732,0.722,0.025,0.1424,0.0041819997454897,"[0.1398, 0.1450]",5,0.15
9.699999999999983,0.731,0.721,0.025,0.143,0.0041471155801203,"[0.1405, 0.1456]",5,0.15
9.799999999999985,0.73,0.72,0.025,0.1437,0.004112575125455,"[0.1412, 0.1463]",5,0.15
9.899999999999984,0.73,0.719,0.025,0.1444,0.0040784171099444,"[0.1419, 0.1469]",5,0.15
9.999999999999982,0.729,0.719,0.025,0.1451,0.0040446822316375,"[0.1426, 0.1476]",5,0.15
10.099999999999982,0.728,0.718,0.025,0.1457,0.0039931091597728,"[0.1432, 0.1482]",4,0.15
10.199999999999982,0.727,0.718,0.025,0.1463,0.0039389320725076,"[0.1438, 0.1487]",4,0.15
10.29999999999998,0.725,0.717,0.025,0.1469,0.0038847311145919,"[0.1445, 0.1493]",4,0.15
10.39999999999998,0.724,0.716,0.024,0.1475,0.0038305177097552,"[0.1451, 0.1499]",4,0.15
10.49999999999998,0.723,0.715,0.024,0.1482,0.0037763034019229,"[0.1458, 0.1505]",4,0.15
