lambda,C-index Train,Mean C-index Test,C-index Test sd,IBS@3y,IBS_3y_std,IBS@3y CI95%,Non-zero coefs,Execution Time (min)
5.3,0.757,0.74,0.027,0.1283,0.006236852770751064,"[0.1244, 0.1322]",13,0.29
5.4,0.757,0.74,0.027,0.1283,0.00617361767062218,"[0.1245, 0.1322]",13,0.29
5.5,0.757,0.74,0.027,0.1284,0.006110472674310135,"[0.1246, 0.1322]",13,0.29
5.6,0.757,0.739,0.027,0.1285,0.0060474352931813085,"[0.1247, 0.1322]",13,0.29
5.7,0.756,0.739,0.027,0.1285,0.005984522393020707,"[0.1248, 0.1322]",13,0.28
5.8,0.756,0.739,0.027,0.1286,0.005921753154665171,"[0.1249, 0.1323]",13,0.29
5.9,0.756,0.738,0.027,0.1287,0.005859147225020102,"[0.1250, 0.1323]",13,0.29
6.0,0.755,0.738,0.026,0.1288,0.005796726097332261,"[0.1252, 0.1324]",13,0.29
6.1,0.755,0.738,0.027,0.1289,0.00573451186810144,"[0.1253, 0.1324]",13,0.29
6.2,0.754,0.737,0.027,0.129,0.0056725292186371665,"[0.1254, 0.1325]",13,0.3
6.3,0.754,0.737,0.027,0.1291,0.005610801789125971,"[0.1256, 0.1325]",13,0.3
6.4,0.753,0.737,0.027,0.1292,0.005549386599752442,"[0.1257, 0.1326]",12,0.29
6.5,0.753,0.736,0.027,0.1293,0.005485852987886595,"[0.1259, 0.1327]",12,0.29
6.6,0.752,0.736,0.027,0.1295,0.005422784284913106,"[0.1262, 0.1329]",12,0.29
6.7,0.751,0.735,0.027,0.1297,0.005360105412730926,"[0.1264, 0.1330]",12,0.29
6.8,0.751,0.735,0.027,0.1299,0.0053063968745364785,"[0.1266, 0.1332]",11,0.29
6.9,0.75,0.734,0.027,0.1302,0.005253890823762746,"[0.1269, 0.1334]",11,0.28
7.0,0.75,0.734,0.027,0.1304,0.005201782585114133,"[0.1272, 0.1337]",11,0.29
7.1,0.749,0.733,0.027,0.1307,0.005150102918066669,"[0.1275, 0.1339]",11,0.29
7.2,0.748,0.733,0.027,0.131,0.005101845272384639,"[0.1278, 0.1342]",10,0.29
7.3,0.747,0.732,0.026,0.1313,0.005059774729768603,"[0.1282, 0.1345]",10,0.3
7.4,0.747,0.732,0.026,0.1317,0.005018568697033191,"[0.1286, 0.1348]",9,0.29
7.5,0.746,0.732,0.026,0.132,0.004977852219844087,"[0.1289, 0.1351]",9,0.29
7.6,0.745,0.731,0.026,0.1324,0.004937598917376056,"[0.1294, 0.1355]",9,0.29
7.7,0.745,0.73,0.026,0.1328,0.004897835351803096,"[0.1298, 0.1358]",9,0.29
7.8,0.744,0.73,0.026,0.1332,0.0048585906762615635,"[0.1302, 0.1362]",9,0.29
7.9,0.743,0.729,0.026,0.1337,0.004819892562866972,"[0.1307, 0.1366]",9,0.29
8.0,0.742,0.728,0.026,0.1341,0.00478177059417721,"[0.1311, 0.1371]",9,0.29
8.1,0.741,0.728,0.026,0.1346,0.0047442550590359525,"[0.1316, 0.1375]",9,0.29
8.2,0.74,0.727,0.026,0.1351,0.004707377437312201,"[0.1322, 0.1380]",9,0.29
8.3,0.739,0.726,0.026,0.1356,0.004669126765928296,"[0.1327, 0.1385]",8,0.29
8.4,0.738,0.726,0.026,0.1361,0.004626633365435542,"[0.1332, 0.1389]",8,0.29
8.5,0.737,0.726,0.026,0.1365,0.004584836925800597,"[0.1336, 0.1393]",6,0.29
8.6,0.737,0.725,0.026,0.1369,0.004543696425554291,"[0.1341, 0.1397]",6,0.29
8.7,0.736,0.725,0.026,0.1374,0.004506001853503549,"[0.1346, 0.1402]",5,0.29
8.8,0.736,0.725,0.026,0.1379,0.004469447157296227,"[0.1351, 0.1406]",5,0.29
8.9,0.736,0.724,0.026,0.1384,0.004432973500312095,"[0.1356, 0.1411]",5,0.28
9.0,0.735,0.724,0.026,0.1389,0.0043966030047555135,"[0.1362, 0.1416]",5,0.29
9.1,0.735,0.724,0.026,0.1394,0.004360359604930912,"[0.1367, 0.1421]",5,0.29
9.2,0.734,0.724,0.025,0.14,0.004324268577290872,"[0.1373, 0.1427]",5,0.29
9.3,0.734,0.723,0.025,0.1406,0.004288357141135065,"[0.1379, 0.1432]",5,0.29
9.4,0.733,0.723,0.025,0.1412,0.004252654308081974,"[0.1385, 0.1438]",5,0.29
9.5,0.733,0.722,0.025,0.1418,0.0042171909320627456,"[0.1391, 0.1444]",5,0.29
9.6,0.732,0.722,0.025,0.1424,0.004181999789674615,"[0.1398, 0.1450]",5,0.29
9.700000000000001,0.731,0.721,0.025,0.143,0.004147115624041312,"[0.1405, 0.1456]",5,0.29
9.8,0.73,0.72,0.025,0.1437,0.004112575168824651,"[0.1412, 0.1463]",5,0.29
9.9,0.73,0.719,0.025,0.1444,0.004078417186106587,"[0.1419, 0.1469]",5,0.28
10.0,0.729,0.719,0.025,0.1451,0.004044682306606525,"[0.1426, 0.1476]",5,0.29
10.1,0.728,0.718,0.025,0.1457,0.003993109280769259,"[0.1432, 0.1482]",4,0.29
