lambda,C-index Train,Mean C-index Test,C-index Test sd,IBS@3y,Non-zero coefs,Execution Time (min)
7.575510204081633,0.754,0.741,0.025,0.0008,10,0.15
7.777551020408163,0.753,0.74,0.025,0.0008,9,0.15
7.979591836734694,0.753,0.74,0.025,0.0008,9,0.15
8.181632653061225,0.752,0.739,0.025,0.0008,9,0.15
8.383673469387755,0.751,0.739,0.025,0.0008,9,0.15
8.585714285714285,0.75,0.738,0.025,0.0008,9,0.16
8.787755102040816,0.749,0.737,0.025,0.0008,8,0.17
8.989795918367347,0.748,0.736,0.025,0.0008,8,0.2
9.191836734693878,0.747,0.735,0.025,0.0008,8,0.2
9.393877551020408,0.745,0.734,0.024,0.0008,8,0.16
9.595918367346938,0.744,0.734,0.025,0.0008,7,0.15
9.79795918367347,0.743,0.733,0.025,0.0008,7,0.16
10.0,0.742,0.733,0.024,0.0008,7,0.16
10.0,0.742,0.733,0.024,0.0008,7,0.15
10.31578947368421,0.741,0.732,0.024,0.0008,6,0.16
10.63157894736842,0.741,0.732,0.024,0.0008,5,0.15
10.947368421052632,0.74,0.732,0.024,0.0008,5,0.16
11.263157894736842,0.74,0.732,0.023,0.0008,5,0.16
11.578947368421051,0.739,0.732,0.023,0.0008,5,0.15
11.894736842105264,0.738,0.73,0.022,0.0008,5,0.15
12.210526315789473,0.737,0.729,0.022,0.0008,5,0.15
12.526315789473683,0.735,0.728,0.022,0.0008,5,0.16
12.842105263157894,0.733,0.726,0.021,0.0008,5,0.15
13.157894736842106,0.731,0.724,0.021,0.0008,5,0.15
13.473684210526317,0.728,0.722,0.021,0.0008,4,0.16
13.789473684210526,0.726,0.719,0.02,0.0008,4,0.16
14.105263157894736,0.723,0.715,0.02,0.0008,4,0.16
14.421052631578949,0.72,0.71,0.019,0.0008,4,0.16
14.736842105263158,0.719,0.708,0.019,0.0008,3,0.16
15.052631578947368,0.718,0.707,0.02,0.0008,3,0.16
15.36842105263158,0.717,0.706,0.02,0.0008,3,0.16
15.68421052631579,0.715,0.705,0.021,0.0008,3,0.16
16.0,0.714,0.703,0.021,0.0008,3,0.17
